"Time","every 15 mins,every 15 mins,every 15 mins,every 15 mins,every 15 mins,hourly on the hour,hourly on the hour,hourly at :15"
"License","Rookie,Rookie,Rookie,Rookie,Rookie,Rookie,Rookie,Rookie"
"Style","sports_car,sports_car,formula_car,formula_car,oval,oval,dirt_oval,dirt_road"
"Name","Global Mazda MX-5 Cup by Fanatec,BMW M2 Cup,Formula Vee Series by trophi.ai,Formula 1600 Rookie Sim-Motion Series,Mini Stock Rookie Series by Thrustmaster,Rookie Street Stock Series by Fanatec,Dirt Mini Stock Rookie Series,Volkswagen Beetle Lite iRX Rookie Series"
"Track1","Oschersleben GP,Oschersleben GP,Oulton Park Fosters,Oulton Park Fosters,Charlotte Oval - 2018,Charlotte Oval - 2018,USA Dirt,Daytona Rallycross Long"
"Track2","Summit Point Raceway ,Summit Point Raceway ,Winton National,Winton National,Langley,Langley,Lanier National Dirt,[L] Phoenix Raceway - 2008 Rallycross"
"Track3","Lime Rock Park Chicanes,Lime Rock Park Chicanes,Summit Point Raceway ,Summit Point Raceway ,USA Asphalt,USA Asphalt,Limaland,Charlotte Rallycross"
"Track4","Winton National,Winton National,Rudskogen,Rudskogen,Southern National,Southern National,USA Dirt,Daytona Rallycross Short"
"Track5","Laguna Seca Full,Laguna Seca Full,VIR North Course,VIR North Course,South Boston,South Boston,Lanier National Dirt,[L] Phoenix Raceway - 2008 Rallycross"
"Track6","Ledenon,Ledenon,Ledenon,Ledenon,Concord,Concord,Limaland,Daytona Rallycross Long"
"Track7","Charlotte Roval,Charlotte Roval,Laguna Seca Full,Laguna Seca Full,Oxford Plains,Oxford Plains,USA Dirt,Charlotte Rallycross"
"Track8","Oulton Park Intl,Oulton Park Intl,Oschersleben GP,Oschersleben GP,Lanier National Asphalt,Lanier National Asphalt,Lanier National Dirt,Daytona Rallycross Short"
"Track9","Tsukuba 2000 Full,Tsukuba 2000 Full,Navarra Speed - Medium,Navarra Speed - Medium,Thompson Oval,Thompson Oval,Limaland,Daytona Rallycross Long"
"Track10","VIR North Course,VIR North Course,Okayama Short,Okayama Short,Charlotte Oval - 2018,Charlotte Oval - 2018,USA Dirt,[L] Phoenix Raceway - 2008 Rallycross"
"Track11","Navarra Speed,Navarra Speed,Lime Rock Park Classic,Lime Rock Park Classic,Langley,Langley,Lanier National Dirt,Charlotte Rallycross"
"Track12","Okayama Full,Okayama Full,Oran Park Raceway GP,Oran Park Raceway GP,USA Asphalt,USA Asphalt,Limaland,Daytona Rallycross Short"
